Freq,Input,Output (word/lemma),"human
checked",Alt,Ordered,Auto ,conflict,L pinky,L ring,L middle,L index,LT1,LT2,RT1,RT2,R index,R middle,R ring ,R pinky,1st,2nd,3rd,,,,,,,,,,,,,,,,,
49,o+d,do,FALSE,,,od,0,,,o,,,,d,,,,,,d,o,,,o,d,,,,,,,+,,,,,,Remove,FALSE
50,o+n,no,FALSE,,,on,1,,,o,,,,,,,n,,,n,o,,,o,n,,,,,,,+,,,,,,Remove,FALSE
51,i+r+m+f+a+n,information,FALSE,,,irmfan,0,,,i,r,m,,f,,a,n,,,i,n,f,,i,r,m,f,a,n,,,+,,,,,,Keep,information
52,i+e+m+t,time,FALSE,,,iemt,0,,,i,e,m,,,,t,,,,t,i,m,,i,e,m,t,,,,,+,,,,,,Remove,FALSE
53,e+h+t+y,they,FALSE,,,ehty,0,,,,e,,,h,,t,,y,,t,h,e,,e,h,t,y,,,,,+,,,,,,Remove,FALSE
55,i+e+t+s,site,FALSE,,,iets,0,,,i,e,,,,,t,,s,,s,i,t,,i,e,t,s,,,,,+,,,,,,Remove,FALSE
56,e+h,he,FALSE,,,eh,0,,,,e,,,h,,,,,,h,e,,,e,h,,,,,,,+,,,,,,Remove,FALSE
58,u+p,up,FALSE,,,up,0,,u,,,,,p,,,,,,u,p,,,u,p,,,,,,,+,,,,,,Remove,FALSE
60,m+a+y,may,FALSE,,,may,0,,,,,m,,,,a,,y,,m,a,y,,m,a,y,,,,,,+,,,,,,Remove,FALSE
61,w+h+a,what,FALSE,,,wha,0,,,,,,w,h,,a,,,,w,h,a,,w,h,a,,,,,,+,,,,,,Remove,FALSE
62,i+c+w+h,which,FALSE,,,icwh,0,,,i,,c,w,h,,,,,,w,h,i,,i,c,w,h,,,,,+,,,,,,Keep,which
63,i+e+h+t,their,FALSE,,,ieht,0,,,i,e,,,h,,t,,,,t,h,e,,i,e,h,t,,,,,+,,,,,,Keep,their
64,u+o+t,out,FALSE,,,uot,0,,u,o,,,,,,t,,,,o,u,t,,u,o,t,,,,,,+,,,,,,Remove,FALSE
65,u+e+s,use,FALSE,,,ues,0,,u,,e,,,,,,,s,,u,s,e,,u,e,s,,,,,,+,,,,,,Remove,FALSE
66,a+n+y,any,FALSE,,,any,0,,,,,,,,,a,n,y,,a,n,y,,a,n,y,,,,,,+,,,,,,Remove,FALSE
67,e+h+t,there,FALSE,,,eht,1,,,,e,,,h,,t,,,,t,h,e,,e,h,t,,,,,,+,,,,,,Keep,there
68,e+s,see,FALSE,,,es,0,,,,e,,,,,,,s,,s,e,e,,e,s,,,,,,,+,,,,,,Remove,FALSE
69,o+n+y,only,FALSE,,,ony,0,,,o,,,,,,,n,y,,o,n,l,,o,n,y,,,,,,+,,,,,,Remove,FALSE
70,o+s,so,FALSE,,,os,0,,,o,,,,,,,,s,,s,o,,,o,s,,,,,,,+,,,,,,Remove,FALSE
71,i+h+s,his,FALSE,,,ihs,0,,,i,,,,h,,,,s,,h,i,s,,i,h,s,,,,,,+,,,,,,Remove,FALSE
72,e+w+h+n,when,FALSE,,,ewhn,0,,,,e,,w,h,,,n,,,w,h,e,,e,w,h,n,,,,,+,,,,,,Remove,FALSE
75,o+c+a+n,contact,FALSE,,,ocan,0,,,o,,c,,,,a,n,,,c,o,n,,o,c,a,n,,,,,+,,,,,,Keep,contact
77,e+h,here,FALSE,,,eh,1,,,,e,,,h,,,,,,h,e,r,,e,h,,,,,,,+,,,,,,Remove,FALSE
78,u+i+e+b+n+s,business,FALSE,,,uiebns,0,,u,i,e,,,,b,,n,s,,b,u,s,,u,i,e,b,n,s,,,+,,,,,,Keep,business
79,o+w+h,who,FALSE,,,owh,0,,,o,,,w,h,,,,,,w,h,o,,o,w,h,,,,,,+,,,,,,Remove,FALSE
80,e+w+b,web,FALSE,,,ewb,0,,,,e,,w,,b,,,,,w,e,b,,e,w,b,,,,,,+,,,,,,Remove,FALSE
81,o+a+l+s,also,FALSE,,,oals,0,,,o,,,,,,a,l,s,,a,l,s,,o,a,l,s,,,,,+,,,,,,Remove,FALSE
82,o+w+n,now,FALSE,,,own,0,,,o,,,w,,,,n,,,n,o,w,,o,w,n,,,,,,+,,,,,,Remove,FALSE
83,e+h+l,help,FALSE,,,ehl,0,,,,e,,,h,,,l,,,h,e,l,,e,h,l,,,,,,+,,,,,,Remove,FALSE
84,e+g+t,get,FALSE,,,egt,0,,,,e,,g,,,t,,,,g,e,t,,e,g,t,,,,,,+,,,,,,Remove,FALSE
85,m+p,pm,FALSE,,,mp,0,,,,,m,,p,,,,,,p,m,,,m,p,,,,,,,+,,,,,,Remove,FALSE
86,i+e+v+w,view,FALSE,,,ievw,0,,,i,e,v,w,,,,,,,v,i,e,,i,e,v,w,,,,,+,,,,,,Remove,FALSE
87,o+e+n,online,FALSE,,,oen,1,,,o,e,,,,,,n,,,o,n,l,,o,e,n,,,,,,+,,,,,,Keep,online
88,i+r+f+t+s,first,FALSE,,,irfts,0,,,i,r,,,f,,t,,s,,f,i,r,,i,r,f,t,s,,,,+,,,,,,Keep,first
89,m+a,am,FALSE,,,ma,0,,,,,m,,,,a,,,,a,m,,,m,a,,,,,,,+,,,,,,Remove,FALSE
90,e+b+n,been,FALSE,,,ebn,0,,,,e,,,,b,,n,,,b,e,e,,e,b,n,,,,,,+,,,,,,Remove,FALSE
91,u+o+w+d+l,would,FALSE,,,uowdl,0,,u,o,,,w,d,,,l,,,w,o,u,,u,o,w,d,l,,,,+,,,,,,Keep,would
93,o+w+h,how,FALSE,,,owh,1,,,o,,,w,h,,,,,,h,o,w,,o,w,h,,,,,,+,,,,,,Remove,FALSE
94,e+w,were,FALSE,,,ew,1,,,,e,,w,,,,,,,w,e,r,,e,w,,,,,,,+,,,,,,Remove,FALSE
95,e+m,me,FALSE,,,em,0,,,,e,m,,,,,,,,m,e,,,e,m,,,,,,,+,,,,,,Remove,FALSE
96,i+e+v+s,services,FALSE,,,ievs,0,,,i,e,v,,,,,,s,,s,e,r,,i,e,v,s,,,,,+,,,,,,Keep,services
97,o+e+m+s,some,FALSE,,,oems,0,,,o,e,m,,,,,,s,,s,o,m,,o,e,m,s,,,,,+,,,,,,Remove,FALSE
98,e+h+t+s,these,FALSE,,,ehts,0,,,,e,,,h,,t,,s,,t,h,e,,e,h,t,s,,,,,+,,,,,,Keep,these
99,i+c+l,click,FALSE,,,icl,0,,,i,,c,,,,,l,,,c,l,i,,i,c,l,,,,,,+,,,,,,Keep,click
100,i+t+s,its,FALSE,,,its,0,,,i,,,,,,t,,s,,i,t,s,,i,t,s,,,,,,+,,,,,,Remove,FALSE
101,i+e+k+l,like,FALSE,,,iekl,0,,,i,e,k,,,,,l,,,l,i,k,,i,e,k,l,,,,,+,,,,,,Remove,FALSE
102,i+e+v+s,service,FALSE,,,ievs,1,,,i,e,v,,,,,,s,,s,e,r,,i,e,v,s,,,,,+,,,,,,Keep,service
103,h+t+n,than,FALSE,,,htn,0,,,,,,,h,,t,n,,,t,h,a,,h,t,n,,,,,,+,,,,,,Remove,FALSE
104,i+f+n,find,FALSE,,,ifn,0,,,i,,,,f,,,n,,,f,i,n,,i,f,n,,,,,,+,,,,,,Remove,FALSE
105,i+r+c+p,price,FALSE,,,ircp,0,,,i,r,c,,p,,,,,,p,r,i,,i,r,c,p,,,,,+,,,,,,Keep,price
106,e+d+a,date,FALSE,,,eda,0,,,,e,,,d,,a,,,,d,a,t,,e,d,a,,,,,,+,,,,,,Remove,FALSE
107,c+b+a,back,FALSE,,,cba,0,,,,,c,,,b,a,,,,b,a,c,,c,b,a,,,,,,+,,,,,,Remove,FALSE
108,o+p+t,top,FALSE,,,opt,0,,,o,,,,p,,t,,,,t,o,p,,o,p,t,,,,,,+,,,,,,Remove,FALSE
109,o+e+p+l,people,FALSE,,,oepl,0,,,o,e,,,p,,,l,,,p,e,o,,o,e,p,l,,,,,+,,,,,,Keep,people
110,h+a,had,FALSE,,,ha,0,,,,,,,h,,a,,,,h,a,d,,h,a,,,,,,,+,,,,,,Remove,FALSE
111,i+t+l+s,list,FALSE,,,itls,0,,,i,,,,,,t,l,s,,l,i,s,,i,t,l,s,,,,,+,,,,,,Remove,FALSE
112,e+m+a+n,name,FALSE,,,eman,0,,,,e,m,,,,a,n,,,n,a,m,,e,m,a,n,,,,,+,,,,,,Remove,FALSE
113,u+t+j+s,just,FALSE,,,utjs,0,,u,,,,,,,t,j,s,,j,u,s,,u,t,j,s,,,,,+,,,,,,Remove,FALSE
114,o+e+v,over,FALSE,,,oev,0,,,o,e,v,,,,,,,,o,v,e,,o,e,v,,,,,,+,,,,,,Remove,FALSE
115,e+t+s,state,FALSE,,,ets,0,,,,e,,,,,t,,s,,s,t,a,,e,t,s,,,,,,+,,,,,,Keep,state
116,e+a+y,year,FALSE,,,eay,0,,,,e,,,,,a,,y,,y,e,a,,e,a,y,,,,,,+,,,,,,Remove,FALSE
117,d+a+y,day,FALSE,,,day,0,,,,,,,d,,a,,y,,d,a,y,,d,a,y,,,,,,+,,,,,,Remove,FALSE
118,i+t+n,into,FALSE,,,itn,0,,,i,,,,,,t,n,,,i,n,t,,i,t,n,,,,,,+,,,,,,Remove,FALSE
119,i+e+m+a+l,email,FALSE,,,iemal,0,,,i,e,m,,,,a,l,,,e,m,a,,i,e,m,a,l,,,,+,,,,,,Keep,email
120,o+w+t,two,FALSE,,,owt,0,,,o,,,w,,,t,,,,t,w,o,,o,w,t,,,,,,+,,,,,,Remove,FALSE
121,e+h+a+l,health,FALSE,,,ehal,0,,,,e,,,h,,a,l,,,h,e,a,,e,h,a,l,,,,,+,,,,,,Keep,health
122,o+r+w+d+l,world,FALSE,,,orwdl,0,,,o,r,,w,d,,,l,,,w,o,r,,o,r,w,d,l,,,,+,,,,,,Keep,world
123,r+,re,FALSE,,,r,0,,,,r,,,,,,,,,r,e,,,r,,,,,,,,+,,,,,,Remove,FALSE
124,e+x+t+n,next,FALSE,,,extn,0,,,,e,,,,x,t,n,,,n,e,x,,e,x,t,n,,,,,+,,,,,,Remove,FALSE
125,u+e+d+s,used,FALSE,,,ueds,0,,u,,e,,,d,,,,s,,u,s,e,,u,e,d,s,,,,,+,,,,,,Remove,FALSE
126,o+g,go,FALSE,,,og,0,,,o,,,g,,,,,,,g,o,,,o,g,,,,,,,+,,,,,,Remove,FALSE
127,o+r+k+w,work,FALSE,,,orkw,0,,,o,r,k,w,,,,,,,w,o,r,,o,r,k,w,,,,,+,,,,,,Remove,FALSE
128,a+l+s,last,FALSE,,,als,0,,,,,,,,,a,l,s,,l,a,s,,a,l,s,,,,,,+,,,,,,Remove,FALSE
130,o+m+t+s,most,FALSE,,,omts,0,,,o,,m,,,,t,,s,,m,o,s,,o,m,t,s,,,,,+,,,,,,Remove,FALSE
131,u+o+r+c+p+t+s,products,FALSE,,,uorcpts,0,,u,o,r,c,,p,,t,,s,,p,r,o,,u,o,r,c,p,t,s,,+,,,,,,Keep,products
132,u+i+m+s,music,FALSE,,,uims,0,,u,i,,m,,,,,,s,,m,u,s,,u,i,m,s,,,,,+,,,,,,Keep,music
133,u+b+y,buy,FALSE,,,uby,0,,u,,,,,,b,,,y,,b,u,y,,u,b,y,,,,,,+,,,,,,Remove,FALSE
134,d+a,data,FALSE,,,da,0,,,,,,,d,,a,,,,d,a,t,,d,a,,,,,,,+,,,,,,Remove,FALSE
135,e+m+a,make,FALSE,,,ema,0,,,,e,m,,,,a,,,,m,a,k,,e,m,a,,,,,,+,,,,,,Remove,FALSE
136,e+m+h+t,them,FALSE,,,emht,0,,,,e,m,,h,,t,,,,t,h,e,,e,m,h,t,,,,,+,,,,,,Remove,FALSE
137,u+o+h+l+s,should,FALSE,,,uohls,0,,u,o,,,,h,,,l,s,,s,h,o,,u,o,h,l,s,,,,+,,,,,,Keep,should
138,u+o+r+c+p+t,product,FALSE,,,uorcpt,0,,u,o,r,c,,p,,t,,,,p,r,o,,u,o,r,c,p,t,,,+,,,,,,Keep,product
139,e+m+t+s,system,FALSE,,,emts,0,,,,e,m,,,,t,,s,,s,y,s,,e,m,t,s,,,,,+,,,,,,Keep,system
140,o+p+t+s,post,FALSE,,,opts,0,,,o,,,,p,,t,,s,,p,o,s,,o,p,t,s,,,,,+,,,,,,Remove,FALSE
142,e+h,her,FALSE,,,eh,2,,,,e,,,h,,,,,,h,e,r,,e,h,,,,,,,+,,,,,,Remove,FALSE
143,i+c+t+y,city,FALSE,,,icty,0,,,i,,c,,,,t,,y,,c,i,t,,i,c,t,y,,,,,+,,,,,,Remove,FALSE
144,d+a,add,FALSE,,,da,1,,,,,,,d,,a,,,,a,d,d,,d,a,,,,,,,+,,,,,,Remove,FALSE
145,o+c+p+l+y,policy,FALSE,,,ocply,0,,,o,,c,,p,,,l,y,,p,o,l,,o,c,p,l,y,,,,+,,,,,,Keep,policy
146,u+r+m+b+n,number,FALSE,,,urmbn,0,,u,,r,m,,,b,,n,,,n,u,m,,u,r,m,b,n,,,,+,,,,,,Keep,number
147,u+c+h+s,such,FALSE,,,uchs,0,,u,,,c,,h,,,,s,,s,u,c,,u,c,h,s,,,,,+,,,,,,Remove,FALSE
148,e+p+a+l+s,please,FALSE,,,epals,0,,,,e,,,p,,a,l,s,,p,l,e,,e,p,a,l,s,,,,+,,,,,,Keep,please
149,i+e+v+b+a+l,available,FALSE,,,ievbal,0,,,i,e,v,,,b,a,l,,,a,v,a,,i,e,v,b,a,l,,,+,,,,,,Keep,available
150,o+r+c+g+p+t+y,copyright,FALSE,,,orcgpty,0,,,o,r,c,g,p,,t,,y,,c,o,p,,o,r,c,g,p,t,y,,+,,,,,,Keep,copyright
151,u+o+r+p+t+s,support,FALSE,,,uorpts,0,,u,o,r,,,p,,t,,s,,s,u,p,,u,o,r,p,t,s,,,+,,,,,,Keep,support
152,e+m+g+a+s,message,FALSE,,,emgas,0,,,,e,m,g,,,a,,s,,m,e,s,,e,m,g,a,s,,,,+,,,,,,Keep,message
153,r+f+a,after,FALSE,,,rfa,0,,,,r,,,f,,a,,,,a,f,t,,r,f,a,,,,,,+,,,,,,Keep,after
154,e+b+t+s,best,FALSE,,,ebts,0,,,,e,,,,b,t,,s,,b,e,s,,e,b,t,s,,,,,+,,,,,,Remove,FALSE
155,o+r+w+f+a+s,software,FALSE,,,orwfas,0,,,o,r,,w,f,,a,,s,,s,o,f,,o,r,w,f,a,s,,,+,,,,,,Keep,software
156,e+h+t+n,then,FALSE,,,ehtn,0,,,,e,,,h,,t,n,,,t,h,e,,e,h,t,n,,,,,+,,,,,,Remove,FALSE
157,a+j,jan,FALSE,,,aj,0,,,,,,,,,a,j,,,j,a,n,,a,j,,,,,,,+,,,,,,Remove,FALSE
158,o+g+d,good,FALSE,,,ogd,0,,,o,,,g,d,,,,,,g,o,o,,o,g,d,,,,,,+,,,,,,Remove,FALSE
159,i+e+v+d,video,FALSE,,,ievd,0,,,i,e,v,,d,,,,,,v,i,d,,i,e,v,d,,,,,+,,,,,,Keep,video
160,e+w+l,well,FALSE,,,ewl,0,,,,e,,w,,,,l,,,w,e,l,,e,w,l,,,,,,+,,,,,,Remove,FALSE
161,e+w+h,where,FALSE,,,ewh,0,,,,e,,w,h,,,,,,w,h,e,,e,w,h,,,,,,+,,,,,,Keep,where
162,i+f+n,info,FALSE,,,ifn,1,,,i,,,,f,,,n,,,i,n,f,,i,f,n,,,,,,+,,,,,,Remove,FALSE
163,i+r+g+h+t+s,rights,FALSE,,,irghts,0,,,i,r,,g,h,,t,,s,,r,i,g,,i,r,g,h,t,s,,,+,,,,,,Keep,rights
164,u+i+c+p+b+l,public,FALSE,,,uicpbl,0,,u,i,,c,,p,b,,l,,,p,u,b,,u,i,c,p,b,l,,,+,,,,,,Keep,public
166,o+k+b+s,books,FALSE,,,okbs,0,,,o,,k,,,b,,,s,,b,o,o,,o,k,b,s,,,,,+,,,,,,Keep,books
167,i+g+h,high,FALSE,,,igh,0,,,i,,,g,h,,,,,,h,i,g,,i,g,h,,,,,,+,,,,,,Remove,FALSE
168,o+c+h+l+s,school,FALSE,,,ochls,0,,,o,,c,,h,,,l,s,,s,c,h,,o,c,h,l,s,,,,+,,,,,,Keep,school
169,u+o+r+g+h+t,through,FALSE,,,uorght,0,,u,o,r,,g,h,,t,,,,t,h,r,,u,o,r,g,h,t,,,+,,,,,,Keep,through
170,e+c+h+a,each,FALSE,,,echa,0,,,,e,c,,h,,a,,,,e,a,c,,e,c,h,a,,,,,+,,,,,,Remove,FALSE
171,i+k+l+s,links,FALSE,,,ikls,0,,,i,,k,,,,,l,s,,l,i,n,,i,k,l,s,,,,,+,,,,,,Keep,links
172,e+h+s,she,FALSE,,,ehs,0,,,,e,,,h,,,,s,,s,h,e,,e,h,s,,,,,,+,,,,,,Remove,FALSE
173,i+r+v+w,review,FALSE,,,irvw,0,,,i,r,v,w,,,,,,,r,e,v,,i,r,v,w,,,,,+,,,,,,Keep,review
174,e+a+y,years,FALSE,,,eay,1,,,,e,,,,,a,,y,,y,e,a,,e,a,y,,,,,,+,,,,,,Keep,years
175,o+r+d,order,FALSE,,,ord,0,,,o,r,,,d,,,,,,o,r,d,,o,r,d,,,,,,+,,,,,,Keep,order
176,e+v+y,very,FALSE,,,evy,0,,,,e,v,,,,,,y,,v,e,r,,e,v,y,,,,,,+,,,,,,Remove,FALSE
177,i+r+v+p+a+y,privacy,FALSE,,,irvpay,0,,,i,r,v,,p,,a,,y,,p,r,i,,i,r,v,p,a,y,,,+,,,,,,Keep,privacy
178,o+k+b,book,FALSE,,,okb,0,,,o,,k,,,b,,,,,b,o,o,,o,k,b,,,,,,+,,,,,,Remove,FALSE
179,i+e+m+t+s,items,FALSE,,,iemts,0,,,i,e,m,,,,t,,s,,i,t,e,,i,e,m,t,s,,,,+,,,,,,Keep,items
180,o+c+p+a+n+y,company,FALSE,,,ocpany,0,,,o,,c,,p,,a,n,y,,c,o,m,,o,c,p,a,n,y,,,+,,,,,,Keep,company
181,r+d+a,read,FALSE,,,rda,0,,,,r,,,d,,a,,,,r,e,a,,r,d,a,,,,,,+,,,,,,Remove,FALSE
182,u+o+r+g+p,group,FALSE,,,uorgp,0,,u,o,r,,g,p,,,,,,g,r,o,,u,o,r,g,p,,,,+,,,,,,Keep,group
183,e+d+n,need,FALSE,,,edn,0,,,,e,,,d,,,n,,,n,e,e,,e,d,n,,,,,,+,,,,,,Remove,FALSE
184,m+a+n+y,many,FALSE,,,many,0,,,,,m,,,,a,n,y,,m,a,n,,m,a,n,y,,,,,+,,,,,,Remove,FALSE
185,u+e+s,user,FALSE,,,ues,1,,u,,e,,,,,,,s,,u,s,e,,u,e,s,,,,,,+,,,,,,Remove,FALSE
186,i+d+a+s,said,FALSE,,,idas,0,,,i,,,,d,,a,,s,,s,a,i,,i,d,a,s,,,,,+,,,,,,Remove,FALSE
187,e+d,de,FALSE,,,ed,0,,,,e,,,d,,,,,,d,e,,,e,d,,,,,,,+,,,,,,Remove,FALSE
188,o+e+d+s,does,FALSE,,,oeds,0,,,o,e,,,d,,,,s,,d,o,e,,o,e,d,s,,,,,+,,,,,,Remove,FALSE
189,e+t+s,set,FALSE,,,ets,1,,,,e,,,,,t,,s,,s,e,t,,e,t,s,,,,,,+,,,,,,Remove,FALSE
190,u+r+d+n,under,FALSE,,,urdn,0,,u,,r,,,d,,,n,,,u,n,d,,u,r,d,n,,,,,+,,,,,,Keep,under
191,e+g+a+n,general,FALSE,,,egan,0,,,,e,,g,,,a,n,,,g,e,n,,e,g,a,n,,,,,+,,,,,,Keep,general
192,u+i+r+v+t+n+y,university,FALSE,,,uirvtny,0,,u,i,r,v,,,,t,n,y,,u,n,i,,u,i,r,v,t,n,y,,+,,,,,,Keep,university
193,u+r+a+j+y,january,FALSE,,,urajy,0,,u,,r,,,,,a,j,y,,j,a,n,,u,r,a,j,y,,,,+,,,,,,Keep,january
194,i+m+a+l,mail,FALSE,,,imal,0,,,i,,m,,,,a,l,,,m,a,i,,i,m,a,l,,,,,+,,,,,,Remove,FALSE
195,u+f+l,full,FALSE,,,ufl,0,,u,,,,,f,,,l,,,f,u,l,,u,f,l,,,,,,+,,,,,,Remove,FALSE
196,m+p+a,map,FALSE,,,mpa,0,,,,,m,,p,,a,,,,m,a,p,,m,p,a,,,,,,+,,,,,,Remove,FALSE
197,o+r+m+g+p+a,program,FALSE,,,ormgpa,0,,,o,r,m,g,p,,a,,,,p,r,o,,o,r,m,g,p,a,,,+,,,,,,Keep,program
198,i+e+f+l,life,FALSE,,,iefl,0,,,i,e,,,f,,,l,,,l,i,f,,i,e,f,l,,,,,+,,,,,,Remove,FALSE
199,o+k+w+n,know,FALSE,,,okwn,0,,,o,,k,w,,,,n,,,k,n,o,,o,k,w,n,,,,,+,,,,,,Remove,FALSE
200,w+a+y,way,FALSE,,,way,0,,,,,,w,,,a,,y,,w,a,y,,w,a,y,,,,,,+,,,,,,Remove,FALSE
201,d+a+y,days,FALSE,,,day,1,,,,,,,d,,a,,y,,d,a,y,,d,a,y,,,,,,+,,,,,,Remove,FALSE
202,e+m+g+a+n,management,FALSE,,,emgan,0,,,,e,m,g,,,a,n,,,m,a,n,,e,m,g,a,n,,,,+,,,,,,Keep,management
203,r+p+a,part,FALSE,,,rpa,0,,,,r,,,p,,a,,,,p,a,r,,r,p,a,,,,,,+,,,,,,Remove,FALSE
204,u+o+c+d+l,could,FALSE,,,uocdl,0,,u,o,,c,,d,,,l,,,c,o,u,,u,o,c,d,l,,,,+,,,,,,Keep,could
